gene_symbol,Dhdds
parameter_id,IMPC_XRY_027_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914672
mouse_strain,C57BL
analysis_id,09z0676c12w73bq
pvalue,0.8443067
parameter_name,Joints
