gene_symbol,Duoxa2
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
gene_accession_id,MGI:1914061
mouse_life_stage,Early adult
analysis_id,o2f6pvnz765617i
pvalue,0.2949964
parameter_id,MGP_IMM_028_001
mouse_strain,C57BL
