analysis_id,t8c85wn628z3h93
mouse_strain,C57BL
parameter_name,Urea (Blood Urea Nitrogen - BUN)
gene_symbol,Snap23
parameter_id,IMPC_CBC_004_001
gene_accession_id,MGI:109356
mouse_life_stage,Late adult
pvalue,0.4890454
