analysis_id,yxv9jj8x82z54w8
gene_accession_id,MGI:1913396
pvalue,0.4951834
parameter_id,ESLIM_011_001_006
gene_symbol,Maco1
parameter_name,110dB startle magnitude
mouse_strain,C57BL
mouse_life_stage,Early adult
