analysis_id,c6m7e5m289izc74
mouse_strain,C57BL
pvalue,0.5549019
parameter_id,MGP_MLN_066_001
gene_symbol,Hpca
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_life_stage,Late adult
gene_accession_id,MGI:1336200
