parameter_name,Embryo Size
gene_symbol,Bmi1
mouse_strain,C57BL
gene_accession_id,MGI:88174
analysis_id,3m3066n71j5242v
parameter_id,IMPC_GEL_032_001
pvalue,0.8472189
mouse_life_stage,E12.5
