parameter_name,HR
mouse_life_stage,Early adult
mouse_strain,129SV
pvalue,0.7272552
gene_symbol,Ddx27
parameter_id,IMPC_ECG_002_001
gene_accession_id,MGI:2385884
analysis_id,n0goi205pu5zhxz
