analysis_id,i927ynu380je2j8
mouse_strain,C57BL
gene_symbol,Etfdh
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_008_001
gene_accession_id,MGI:106100
parameter_name,LVIDd
pvalue,0.5796734
