parameter_id,IMPC_CAL_008_001
mouse_strain,C57BL
parameter_name,Total food intake
gene_accession_id,MGI:1920638
pvalue,0.1842107
gene_symbol,Bpifa3
analysis_id,4dg89aj6z0m09n0
mouse_life_stage,Early adult
