mouse_life_stage,Middle aged adult
gene_symbol,Snap23
pvalue,0.9617615
mouse_strain,C57BL
gene_accession_id,MGI:109356
parameter_id,ESLIM_011_001_002
analysis_id,453d81097wau6dl
parameter_name,PP1 startle magnitude
