parameter_name,Chloride
gene_accession_id,MGI:1922745
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_003_001
mouse_strain,C57BL
analysis_id,841s9i577r24c87
pvalue,0.3750689
gene_symbol,Morn5
