gene_symbol,Slc2a8
gene_accession_id,MGI:1860103
parameter_id,MGP_IMM_129_001
parameter_name,CD11b-high cDC - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1711293
analysis_id,l361z57q2sq276l
