analysis_id,3bd4ejm15xti1me
parameter_id,IMPC_XRY_027_001
parameter_name,Joints
mouse_strain,C57BL
gene_symbol,Rgs20
pvalue,0.7668243
mouse_life_stage,Early adult
gene_accession_id,MGI:1929866
