gene_symbol,Dnajc6
gene_accession_id,MGI:1919935
analysis_id,qg5fy8p2i38m68l
mouse_strain,C57BL
parameter_id,MGP_PBI_015_001
parameter_name,IgD+ mature B cell percentage
pvalue,0.9948806
mouse_life_stage,Early adult
