analysis_id,ns2u7ak8e8ik502
gene_symbol,Cntfr
parameter_id,IMPC_EYE_017_001
mouse_strain,C57BL
pvalue,0.6611828
parameter_name,Lens Opacity
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
