analysis_id,rqzwre09193186r
mouse_strain,C57BL
gene_accession_id,MGI:1914256
gene_symbol,Cisd2
mouse_life_stage,Early adult
parameter_id,MGP_IMM_089_001
parameter_name,KLRG1+ gd T cells - % of CD45+
pvalue,0.4116289
