parameter_name,Total protein
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_006_001
analysis_id,d5cg8awwxsa7680
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
pvalue,0.3733597
