parameter_id,MGP_IMM_073_001
parameter_name,Effector CD4+ T helper cells - % of CD45+
pvalue,0.6357586
gene_accession_id,MGI:1914061
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,1dkl1e4sp586at8
gene_symbol,Duoxa2
