analysis_id,1sh4b2j08g0qtns
pvalue,0.3441357
gene_symbol,Kdm4c
parameter_id,JAXLA_CSD_077_001
parameter_name,Contact righting
mouse_strain,C57BL
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
