parameter_name,Distance travelled - total
gene_symbol,Dnaaf9
analysis_id,81t50u5476vuy13
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2420346
parameter_id,HRWLLA_OFD_020_001
gene_accession_id,MGI:1923029
