analysis_id,12lmaxo7kj3nu36
mouse_strain,C57BL
parameter_id,MGP_PBI_034_001
parameter_name,B cell number
gene_symbol,Extl1
pvalue,0.6167578
gene_accession_id,MGI:1888742
mouse_life_stage,Early adult
