gene_symbol,Extl1
parameter_id,MGP_MLN_072_001
analysis_id,98x77649459wl34
parameter_name,KLRG1+ Treg cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1888742
pvalue,0.7353038
