analysis_id,778f2u82sz95x3s
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_008_001
mouse_strain,C57BL
gene_accession_id,MGI:3033992
gene_symbol,Cldn19
pvalue,0.139211
parameter_name,18kHz-evoked ABR Threshold
