gene_symbol,Traf6
analysis_id,dzb03d9y230jv6k
gene_accession_id,MGI:108072
parameter_id,IMPC_ACS_006_001
parameter_name,Response amplitude - S
pvalue,0.5868604
mouse_life_stage,Early adult
mouse_strain,C57BL
