analysis_id,bh0d4ktvji3l7d9
mouse_life_stage,E9.5
parameter_name,Naive CD8+ T cells - % of CD45+
gene_symbol,Hspa5
mouse_strain,C57BL
gene_accession_id,MGI:95835
pvalue,0.5273138
parameter_id,MGP_MLN_076_001
