gene_symbol,Snrpb2
pvalue,0.6890714
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:104805
parameter_name,lens
parameter_id,M-G-P_014_001_009
analysis_id,c988yz2t7t857r1
