analysis_id,7gly54a9vzna198
gene_accession_id,MGI:3026886
mouse_strain,C57BL
pvalue,0.9752834
gene_symbol,Cdin1
mouse_life_stage,E9.5
parameter_name,Hindlimb nail - number
parameter_id,IMPC_CSD_051_002
