gene_symbol,Cmpk1
analysis_id,ys7r969044a8775
parameter_id,MGP_MLN_074_001
pvalue,0.4760006
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Effector CD8+ T cells - % of CD45+
gene_accession_id,MGI:1913838
