parameter_name,Right total retinal thickness
gene_accession_id,MGI:1913405
parameter_id,IMPC_EYE_062_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ufc1
analysis_id,91194475vdx19h9
pvalue,0.8714176
