gene_symbol,Ahcy
parameter_name,Mean platelet volume
pvalue,0.06510568
analysis_id,68gn9gz7s035s88
mouse_strain,C57BL
parameter_id,IMPC_HEM_019_001
gene_accession_id,MGI:87968
mouse_life_stage,Early adult
