analysis_id,84y865xyj326x0n
parameter_name,Effector CD4+ T helper cells - % of CD45+
parameter_id,MGP_MLN_066_001
gene_accession_id,MGI:1914672
mouse_strain,C57BL
pvalue,0.3350894
gene_symbol,Dhdds
mouse_life_stage,Early adult
