parameter_id,IMPC_GEL_011_001
mouse_life_stage,Early adult
gene_symbol,Cmpk1
analysis_id,v049v6514pa8a9b
mouse_strain,C57BL
pvalue,0.3192214
gene_accession_id,MGI:1913838
parameter_name,Embryo turning
