parameter_name,Lens Opacity
gene_symbol,Car13
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,vfv524091q48x5x
gene_accession_id,MGI:1931322
pvalue,0.3623814
parameter_id,IMPC_EYE_017_001
