parameter_name,Cleft palate
mouse_strain,C57BL
gene_symbol,Rab3gap2
parameter_id,IMPC_GEP_076_001
gene_accession_id,MGI:1916043
analysis_id,0978fxm00xy2765
mouse_life_stage,Early adult
pvalue,0.3061013
