gene_symbol,Alkbh3
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_007_001
analysis_id,rquy66osmm47g71
pvalue,0.9140641
gene_accession_id,MGI:1916363
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
