parameter_name,Humerus
gene_symbol,Sprr1b
mouse_life_stage,Early adult
gene_accession_id,MGI:106659
analysis_id,9scf888dd5f627n
mouse_strain,C57BL
parameter_id,IMPC_XRY_021_001
pvalue,0.5457026
