gene_symbol,Amigo1
pvalue,0.9525579
parameter_id,M-G-P_016_001_006
mouse_life_stage,Early adult
analysis_id,8h31z441g22y77v
parameter_name,Mean-corpuscular-haemoglobin
gene_accession_id,MGI:2653612
mouse_strain,C57BL
