gene_symbol,Toporsl
analysis_id,9s1nf7io1r7fbs1
parameter_id,M-G-P_005_001_001
parameter_name,Weight
gene_accession_id,MGI:1915524
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1127673
