gene_symbol,Tbl1xr1
analysis_id,x3w21aglz467trj
parameter_id,IMPC_HEM_005_001
mouse_life_stage,Late adult
pvalue,0.4559602
mouse_strain,C57BL
parameter_name,Mean cell volume
gene_accession_id,MGI:2441730
