parameter_name,PP1 startle magnitude
gene_accession_id,MGI:2446274
mouse_strain,C57BL
pvalue,0.1795905
gene_symbol,Frmpd1
analysis_id,8p9176m5424zld8
parameter_id,ESLIM_011_001_002
mouse_life_stage,Late adult
