parameter_id,JAX_URI_002_001
mouse_life_stage,Early adult
mouse_strain,B6J
gene_symbol,Nr0b2
analysis_id,v595f9u4nkf51e8
parameter_name,Creatinine
gene_accession_id,MGI:1346344
pvalue,0.9414601
