parameter_name,CD8 CD44-CD62L+ T cells
gene_symbol,Hspa5
pvalue,0.4982947
mouse_strain,C57BL
gene_accession_id,MGI:95835
parameter_id,IMPC_IMM_034_001
mouse_life_stage,E12.5
analysis_id,ybg07136p80df54
