analysis_id,544k4o53mb5hk20
mouse_strain,C57BL
parameter_id,MGP_MLN_076_001
gene_accession_id,MGI:3616086
pvalue,0.3803854
parameter_name,Naive CD8+ T cells - % of CD45+
mouse_life_stage,Early adult
gene_symbol,Kcng1
