gene_symbol,Galnt13
gene_accession_id,MGI:2139447
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_id,MGP_IMM_125_001
pvalue,0.9208999
analysis_id,0zg41n31949w946
parameter_name,Eosinophils - % of CD45+
