parameter_id,HRWLLA_OFD_011_001
gene_accession_id,MGI:1328306
gene_symbol,Orc2
pvalue,0.1119313
parameter_name,Periphery resting time
analysis_id,6j987v73ie7s1gr
mouse_strain,C57BL
mouse_life_stage,E9.5
