gene_symbol,Trim46
pvalue,0.7935975
mouse_life_stage,Early adult
analysis_id,776f44dk124f93f
mouse_strain,C57BL
gene_accession_id,MGI:2673000
parameter_name,Bone Mineral Density (excluding skull)
parameter_id,IMPC_DXA_004_001
