gene_symbol,Ncaph
analysis_id,5hlv51px08w45y9
gene_accession_id,MGI:2444777
parameter_id,MGP_PBI_031_001
mouse_life_stage,Early adult
pvalue,0.1410937
mouse_strain,C57BL
parameter_name,KLRG1+ mature NK cell number
