analysis_id,x977jdr78nz08s0
parameter_id,IMPC_HEM_038_001
mouse_strain,C57BL
parameter_name,Basophil differential count
pvalue,0.8095307
gene_accession_id,MGI:1917810
gene_symbol,Wars2
mouse_life_stage,E9.5
