mouse_life_stage,E15.5
parameter_id,MGP_MLN_010_001
mouse_strain,C57BL
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
pvalue,0.8210758
parameter_name,Resting Treg cells - % of Treg
analysis_id,528x1604449po31
