gene_symbol,Bpifa3
parameter_name,Periphery resting time
gene_accession_id,MGI:1920638
pvalue,0.4975461
mouse_strain,129SV
analysis_id,8t998u450bq5bt9
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_011_001
