parameter_id,HRWLLA_CBC_014_001
parameter_name,Alkaline phosphatase
analysis_id,7e64131d4n49623
mouse_life_stage,Early adult
pvalue,0.6354297
gene_accession_id,MGI:1921442
mouse_strain,C57BL
gene_symbol,Arpc5l
