analysis_id,6793w7p6636h27c
mouse_strain,129SV
gene_accession_id,MGI:1918025
parameter_name,Click-evoked ABR threshold
gene_symbol,Zmynd8
parameter_id,IMPC_ABR_002_001
pvalue,0.0957826
mouse_life_stage,Early adult
