parameter_name,Center permanence time
mouse_life_stage,E9.5
mouse_strain,C57BL
analysis_id,e694q9g2a7vqu79
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
parameter_id,IMPC_OFD_016_001
pvalue,0.6361175
