gene_symbol,Dcaf12
pvalue,0.3519632
parameter_name,Total holepokes
mouse_strain,C57BL
analysis_id,g39o6d6pg253qjq
parameter_id,JAXLA_HBD_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1916220
