parameter_id,HMGULA_HWT_008_001
analysis_id,7u7x3i62f63304j
parameter_name,Heart weight
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Mov10
pvalue,0.1705963
gene_accession_id,MGI:97054
