analysis_id,7q01t113859b8m2
mouse_strain,C52BL
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
gene_symbol,Tnni1
parameter_id,MGP_BMI_014_001
gene_accession_id,MGI:105073
pvalue,0.6048508
mouse_life_stage,Early adult
