analysis_id,ycec8tvu0b88tne
parameter_name,Retina (combined)
mouse_life_stage,Early adult
pvalue,0.9567764
mouse_strain,C57BL
gene_symbol,Rgs20
gene_accession_id,MGI:1929866
parameter_id,IMPC_EYE_092_001
