analysis_id,12y54iik7s2m37t
parameter_name,Clavicle
parameter_id,IMPC_XRY_007_001
mouse_strain,C57BL
gene_symbol,Tubb4b
pvalue,0.8065461
gene_accession_id,MGI:1915472
mouse_life_stage,Early adult
