parameter_name,Periphery permanence time
parameter_id,JAX_OFD_012_001
pvalue,0.1012562
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
analysis_id,63745973wl8v19h
mouse_life_stage,Early adult
mouse_strain,C57BL
