Analysis_id,ha446izha7761c3
Parameter_name,Bone Mineral Density (excluding skull)
Mouse_life_stage,E9.5
gene_accession_id,MGI:87968
Gene_symbol,Ahcy
mouse_strain,C57BL
Pvalue,0.7229061
Parameter_id,IMPC_DXA_004_001
