parameter_name,Percentage center time
analysis_id,13c13pyp16wo36f
mouse_strain,C57BL
pvalue,0.07602584
parameter_id,IMPC_OFD_022_001
mouse_life_stage,Early adult
gene_symbol,Pld1
gene_accession_id,MGI:109585
