gene_symbol,Bpifa3
analysis_id,06b584y9i53nm3n
gene_accession_id,MGI:1920638
parameter_name,PP1 startle magnitude
parameter_id,ESLIM_011_001_002
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.07075376
