analysis_id,0iqcvo9r3g0i49r
gene_accession_id,MGI:2444113
gene_symbol,Nemp2
mouse_life_stage,Early adult
pvalue,0.5903055
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
parameter_id,MGP_PBI_009_001
mouse_strain,C57BL
