parameter_id,JAXLA_CBC_015_001
mouse_life_stage,Early adult
parameter_name,Total cholesterol
mouse_strain,C57BL
gene_accession_id,MGI:1918345
analysis_id,00u2323a88k3d7m
gene_symbol,Kif24
pvalue,0.2211803
